bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,price,state,transmission,year
Sedan,Volkswagen,Engativa,Blanco,4.0,Gasolina,166000.0,Jetta,2.0,15000000.0,Bogota D.C.,Mecanica,2000.0
Sedan,BMW,Suba,Gris,4.0,Gasolina,140000.0,Serie 3,3.0,42000000.0,Bogota D.C.,Mecanica,2001.0
Camioneta,Toyota,Medellin,Blanco,5.0,Gasolina,197000.0,Land Cruiser,4.7,74900000.0,Antioquia,Automatica,2002.0
Hatchback,Peugeot,Suba,Blanco,5.0,Gasolina,105000.0,307,2.0,18500000.0,Bogota D.C.,Mecanica,2003.0
Sedan,Dodge,Socorro,Gris,4.0,Gasolina,100000.0,dodge desoto D8,2.0,70000000.0,Santander,Mecanica,1938.0
Sedan,Citroen,Teusaquillo,Azul,4.0,Gasolina,263600.0,C3,2.0,12600000.0,Bogota D.C.,Mecanica,2003.0
Sedan,Chevrolet,Kennedy,Gris,4.0,Gasolina,98000.0,Swift,1.6,5900000.0,Bogota D.C.,Mecanica,1991.0
Hatchback,Chevrolet,Puente Aranda,Blanco,5.0,Gasolina,1.0,Sprint,1.0,6300000.0,Bogota D.C.,Mecanica,1991.0
Camioneta,Chevrolet,Ginebra,Blanco,5.0,Gasolina,1.0,Samurai,1.3,16000000.0,Valle Del Cauca,Mecanica,1991.0
Pick-Up,Toyota,Medellin,Blanco,2.0,Gasolina,300000.0,Hilux,2.4,42500000.0,Antioquia,Mecanica,1992.0
Camioneta,Honda,Kennedy,Gris,4.0,Gasolina,260000.0,Accord,2000,8000000.0,Bogota D.C.,Mecanica,1992.0
Hatchback,Chevrolet,Fontibon,Azul,2.0,Gasolina,90000.0,Swift,1.3,23000000.0,Bogota D.C.,Mecanica,1993.0
Camioneta,Peugeot,Choconta,Blanco,5.0,Gasolina,209000.0,405,1.9,8900000.0,Cundinamarca,Mecanica,1994.0
Sedan,Peugeot,Cajica,Gris,4.0,Gasolina,171000.0,306,1.8,7000000.0,Cundinamarca,Mecanica,1995.0
Camioneta,Land Rover,La Calera,Verde,5.0,Gasolina y gas,305000.0,Discovery,V8,29000000.0,Cundinamarca,Automatica,1996.0
Sedan,Chevrolet,Neiva,Blanco,4.0,Gasolina,300000.0,Esteem,1.6,11000000.0,Huila,Mecanica,1997.0
Sedan,Mercedes-Benz,Suba,Plateado,4.0,Gasolina,138000.0,C280,2.800,19900000.0,Bogota D.C.,Automatica,1998.0
Pick-Up,Chevrolet,Fontibon,Gris,2.0,Gasolina,2500.0,LUV,2.2,31500000.0,Bogota D.C.,Mecanica,1999.0
Sedan,Chevrolet,Neiva,Blanco,5.0,Gasolina,307330.0,Vitara,1.6,23000000.0,Huila,Mecanica,2000.0
Sedan,Chevrolet,Suba,Verde,4.0,Gasolina,120000.0,Astra,Gasolina,10990000.0,Bogota D.C.,Mecanica,2001.0
Sedan,Nissan,Chapinero,Rojo,4.0,Gasolina,208000.0,Sentra,1.6,12700000.0,Bogota D.C.,Mecanica,2002.0
Sedan,Hyundai,Barranquilla,Blanco,4.0,Gasolina,166000.0,Elantra,2.0,11500000.0,Atlantico,Mecanica,2002.0
Sedan,Renault,Sogamoso,Blanco,4.0,Gasolina,185000.0,Megane,1.4,12000000.0,Boyaca,Mecanica,2003.0
Camioneta,Daihatsu,Suba,Blanco,5.0,Gasolina,200000.0,Feroza,1.6,19500000.0,Bogota D.C.,Mecanica,1993.0
Hatchback,Chevrolet,Samaniego,Blanco,4.0,Gasolina,111.0,LUV,1.6,26000.0,Narino,Mecanica,1994.0
Camioneta,Jeep,Fomeque,Gris,5.0,Gasolina,260000.0,Cherokee,4.0,16500000.0,Cundinamarca,Automatica,1995.0
Camioneta,Nissan,Yopal,Gris,5.0,Gasolina,198000.0,Patrol,4.2,42500000.0,Casanare,Mecanica,1996.0
Hatchback,Peugeot,Chapinero,Rojo,5.0,Gasolina,170000.0,205,1.1,6000000.0,Bogota D.C.,Mecanica,1996.0
Hatchback,Fiat,Ubate,Blanco,5.0,Gasolina,170605.0,Palio,1.3,8500000.0,Cundinamarca,Mecanica,1997.0
Station Wagon,Subaru,Suba,Azul,5.0,Gasolina,179500.0,Impreza,1.6,16800000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Toyota,Armenia,Gris,5.0,Gasolina,154800.0,Prado,2.7,28000000.0,Quindio,Automatica,1999.0
Sedan,Mazda,Medellin,Gris,4.0,Gasolina,161000.0,626,4 EN LINEA,12800000.0,Antioquia,Mecanica,1999.0
Hatchback,Renault,Suba,Rojo,5.0,Gasolina,200000.0,Clio,1.4,9800000.0,Bogota D.C.,Mecanica,2000.0
Camioneta,Renault,Tunja,Gris,4.0,Gasolina,180000.0,R19,2.0,7999000.0,Boyaca,Mecanica,2000.0
Camioneta,Daewoo,Medellin,Rojo,5.0,Diesel,150000.0,Korando,2.9,13500000.0,Antioquia,Mecanica,2001.0
Camioneta,Volkswagen,Suba,Gris,4.0,Gasolina,1.0,Gol,1.6,9800000.0,Bogota D.C.,Mecanica,2000.0
Station Wagon,Chevrolet,Rafael Uribe Uribe,Verde,5.0,Gasolina,149800.0,Esteem,1600,15000000.0,Bogota D.C.,Automatica,2002.0
Sedan,Honda,Usaquen,Plateado,5.0,Gasolina,17196.0,Civic,1700,17500000.0,Bogota D.C.,Mecanica,2002.0
Pick-Up,Chevrolet,Engativa,Dorado,5.0,Gasolina,240000.0,LUV,2.3,23800000.0,Bogota D.C.,Mecanica,1993.0
Sedan,Chevrolet,Bosa,Blanco,4.0,Gasolina,130000.0,Swift,1.6,8290000.0,Bogota D.C.,Mecanica,1993.0
Hatchback,Chevrolet,Dosquebradas,Blanco,5.0,Gasolina,50000.0,Swift,1.0,6000000.0,Risaralda,Mecanica,1994.0
Hatchback,Chevrolet,Bosa,Gris,5.0,Gasolina,115000.0,Sprint,1.0,8000000.0,Bogota D.C.,Mecanica,1994.0
Camioneta,Ford,Kennedy,Blanco,2.0,Gasolina y gas,200000.0,350,2.0,24000000.0,Bogota D.C.,Mecanica,1995.0
Hatchback,Chevrolet,Suba,Blanco,5.0,Gasolina,51000.0,Swift,1.0,7800000.0,Bogota D.C.,Mecanica,1995.0
Pick-Up,Chevrolet,Funza,Rojo,2.0,Gasolina y gas,204625.0,Cheyenne,5.7,16500000.0,Cundinamarca,Automatica,1995.0
Camioneta,Chevrolet,Cartagena De Indias,Blanco,2.0,Gasolina,111111.0,LUV,2.0,23000000.0,Bolivar,Mecanica,1996.0
Camioneta,Skoda,Villavicencio,Blanco,4.0,Gasolina,120000.0,1997,2.0,7500000.0,Meta,Mecanica,1997.0
Furgon,Chevrolet,Manizales,Gris,2.0,Gasolina,13.0,Super carry,1.0,15000000.0,Caldas,Mecanica,1998.0
Sedan,Renault,Suba,Blanco,4.0,Gasolina,189000.0,Symbol,1.4,10900000.0,Bogota D.C.,Mecanica,2002.0
Sedan,Chevrolet,Bosa,Gris,4.0,Gasolina,1737.0,Esteem,1.6,11000000.0,Bogota D.C.,Mecanica,2002.0
Sedan,Skoda,Suba,Blanco,4.0,Gasolina,148230.0,Fabia,1.4,13900000.0,Bogota D.C.,Mecanica,2003.0
Camioneta,Daihatsu,Suba,Amarillo,3.0,Diesel,440000.0,Rocky,Diesel,20000000.0,Bogota D.C.,Mecanica,1996.0
Pick-Up,Chevrolet,Medellin,Blanco,2.0,Gasolina,300000.0,LUV,2.3,24500000.0,Antioquia,Mecanica,1997.0
Camioneta,Chevrolet,Suba,Blanco,5.0,Gasolina y gas,200000.0,Blazer,2.0,8500000.0,Bogota D.C.,Automatica,1997.0
Hatchback,Volkswagen,San Cristobal Sur,Gris,4.0,Gasolina,1390000.0,Golf,1800,10900000.0,Bogota D.C.,Mecanica,2003.0
Hatchback,Mazda,Barranquilla,Gris,5.0,Gasolina,260000.0,ALLEGRO,1.3,10000000.0,Atlantico,Mecanica,2003.0
Sedan,Renault,Medellin,Blanco,3.0,Gasolina,189000.0,Twingo,2.0,9500000.0,Antioquia,Mecanica,2003.0
Pick-Up,Toyota,Medellin,Blanco,2.0,Gasolina,180000.0,Hilux,2.4,16000000.0,Antioquia,Mecanica,1998.0
Hatchback,Renault,Medellin,Gris,5.0,Gasolina,15854.0,Twingo,1.3,5000000.0,Antioquia,Mecanica,1996.0
Camioneta,Chevrolet,Rafael Uribe Uribe,Gris,4.0,Gasolina,100000.0,LUV,2.0,25500000.0,Bogota D.C.,Mecanica,1996.0
Hatchback,Renault,Medellin,Blanco,5.0,Gasolina,340000.0,Clio,1.4,3600000.0,Antioquia,Mecanica,1998.0
Pick-Up,Chevrolet,Santa Fe,Blanco,2.0,Gasolina,100000.0,LUV,2.3,21800000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Chevrolet,Suba,Gris,5.0,Gasolina,224395.0,Corsa,1.6,8900000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Ford,Usaquen,Verde,4.0,Gasolina,123600.0,Festiva,1.3,8300000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Chevrolet,Bucaramanga,Blanco,2.0,Gasolina,190000.0,LUV,2.3,34500000.0,Santander,Mecanica,1996.0
Camioneta,Mazda,Bucaramanga,Gris,4.0,Gasolina,147000.0,323,1800,10500000.0,Santander,Automatica,1996.0
Camioneta,Toyota,Chapinero,Azul,4.0,Gasolina,1.0,Tercel,2.0,9500000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Daihatsu,Ibague,Blanco,2.0,Gasolina,100000.0,F20,1.6,15000000.0,Tolima,Mecanica,1996.0
Coupe,Suzuki,Pereira,Gris,3.0,Gasolina,954000.0,Samurai,1000,21900000.0,Risaralda,Mecanica,1996.0
Hatchback,Skoda,Suba,Azul,4.0,Gasolina,22000.0,Felicia,1300,7500000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Chevrolet,Suba,Azul,2.0,Gasolina,140000.0,LUV,2300,40000000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Ford,Usaquen,Blanco,5.0,Gasolina,270000.0,Bronco,5.0,19000000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Nissan,Fontibon,Azul,4.0,Gasolina,206000.0,Sentra,1.6,9300000.0,Bogota D.C.,Mecanica,1996.0
Coupe,Chevrolet,Puente Aranda,Rojo,3.0,Gasolina,169000.0,Swift,1.0,7900000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Daewoo,Fontibon,Azul,4.0,Gasolina,118000.0,Cielo,1.5,8000000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Mitsubishi,Tunja,Rojo,4.0,Gasolina,190000.0,Lancer,1.6,9500000.0,Boyaca,Mecanica,1998.0
Camioneta,Renault,Medellin,Gris,5.0,Gasolina,220000.0,Clio,1400,8800000.0,Antioquia,Mecanica,1998.0
Camioneta,Honda,Teusaquillo,Rojo,5.0,Gasolina,230071.0,CR-V,2.0,19300000.0,Bogota D.C.,Mecanica,1998.0
Sedan,Mazda,Suba,Azul,4.0,Gasolina,220000.0,626,2.0,10500000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Subaru,Chapinero,Azul,5.0,Gasolina,221000.0,Outback,2.5,15500000.0,Bogota D.C.,Mecanica,1998.0
Hatchback,Daewoo,Suba,Blanco,5.0,Gasolina,153746.0,Lanos,1.5,11300000.0,Bogota D.C.,Mecanica,1998.0
Hatchback,Daewoo,Suba,Plateado,5.0,Gasolina,278200.0,Lanos,1.5,9800000.0,Bogota D.C.,Mecanica,1998.0
Pick-Up,Toyota,Bucaramanga,Verde,3.0,Gasolina,143089.0,Land Cruiser,4.5,80000000.0,Santander,Mecanica,1998.0
Sedan,Hyundai,Engativa,Rojo,4.0,Gasolina y gas,280667.0,Elantra,1.8,9000000.0,Bogota D.C.,Mecanica,1998.0
Van,Nissan,Engativa,Blanco,4.0,Gasolina,130000.0,Urvan,2000,21000000.0,Bogota D.C.,Mecanica,1998.0
Hatchback,Chevrolet,Barrios Unidos,Azul,4.0,Gasolina,146000.0,Corsa,2.0,8500000.0,Bogota D.C.,Mecanica,1998.0
Pick-Up,Chevrolet,Suba,Blanco,2.0,Gasolina,184000.0,LUV,2.3,33000000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Mitsubishi,Cartagena De Indias,Gris,5.0,Gasolina,240941.0,Montero,3.0,22000000.0,Bolivar,Mecanica,1998.0
Sedan,Chevrolet,Medellin,Verde,4.0,Gasolina,160000.0,Esteem,1.6,8900000.0,Antioquia,Mecanica,1998.0
Pick-Up,Toyota,Suba,Gris,2.0,Gasolina,188200.0,Hilux,2.4,30000000.0,Bogota D.C.,Mecanica,1998.0
Hatchback,Renault,Pereira,Gris,5.0,Gasolina,180000.0,Clio,1.4,9500000.0,Risaralda,Mecanica,1998.0
Hatchback,Renault,Teusaquillo,Azul,5.0,Gasolina,211000.0,Clio,1.4,7300000.0,Bogota D.C.,Mecanica,1998.0
Pick-Up,Chevrolet,Suba,Azul,4.0,Gasolina,209000.0,Silverado,5.7,16900000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Ford,Cali,Verde,5.0,Gasolina,220188.0,Explorer,4000,15000000.0,Valle Del Cauca,Mecanica,1998.0
Camioneta,Toyota,Barrios Unidos,Plata,4.0,Gasolina,270000.0,RAV4,1.6,26500000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Nissan,Tunja,Blanco,5.0,Gasolina,185000.0,Pathfinder,3.3,22000000.0,Boyaca,Mecanica,1998.0
Coupe,Mitsubishi,Kennedy,Gris,3.0,Gasolina,204000.0,Colt,1600,15000000.0,Bogota D.C.,Automatica,1998.0
Camioneta,Chevrolet,Tunjuelito,Blanco,4.0,Gasolina,1.0,LUV,2300,27800000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Peugeot,Usaquen,Azul,4.0,Gasolina,98000.0,306,1400,14900000.0,Bogota D.C.,Mecanica,1998.0
Sedan,Hyundai,Mosquera,Verde,4.0,Gasolina,251500.0,Accent,2.0,8700000.0,Cundinamarca,Mecanica,1998.0
Hatchback,Ford,Cali,Azul,5.0,Gasolina,1000000.0,Fiesta,1.3,4000000.0,Valle Del Cauca,Mecanica,1998.0
Sedan,Chevrolet,Cali,Blanco,5.0,Gasolina,1.0,Corsa,2.0,10000000.0,Valle Del Cauca,Mecanica,1998.0
Camioneta,Ford,Cali,Verde,5.0,Gasolina y gas,220000.0,Explorer,4.0,15000000.0,Valle Del Cauca,Mecanica,1998.0
Pick-Up,Chevrolet,Cali,Blanco,2.0,Diesel,350000.0,NKR,2.8,39000000.0,Valle Del Cauca,Mecanica,1998.0
Hatchback,Ford,Kennedy,Verde,5.0,Gasolina,1.0,Festiva,1.3,8000000.0,Bogota D.C.,Mecanica,1998.0
Pick-Up,Chevrolet,Rafael Uribe Uribe,Blanco,2.0,Gasolina,245000.0,LUV,2.3,29500000.0,Bogota D.C.,Mecanica,1998.0
Pick-Up,Toyota,Itagui,Blanco,2.0,Gasolina y gas,200000.0,Hilux,2.4,26500000.0,Antioquia,Mecanica,1998.0
Sedan,Renault,Fontibon,Verde,4.0,Gasolina,1.0,R9,1.4,8000000.0,Bogota D.C.,Mecanica,1998.0
Sedan,Mitsubishi,Zipaquira,Gris,2.0,Gasolina,20.0,Sensor aire,1.6,500000.0,Cundinamarca,Mecanica,1998.0
Hatchback,Renault,Cali,Blanco,5.0,Gasolina,182509.0,Clio,1.4,7500000.0,Valle Del Cauca,Mecanica,1998.0
Hatchback,Daewoo,Calarca,Blanco,4.0,Gasolina y gas,1.0,Nubira,1.6,7500000.0,Quindio,Mecanica,1998.0
Sedan,Hyundai,Cajica,Verde,4.0,Gasolina,295.0,Accent,1.3,8500000.0,Cundinamarca,Mecanica,1998.0
Hatchback,Citroen,Puente Aranda,Rojo,5.0,Gasolina,370000.0,Xsara,1.8,10500000.0,Bogota D.C.,Mecanica,1998.0
Sedan,Renault,Villavicencio,Blanco,4.0,Gasolina,42000.0,R9,1.4,8500000.0,Meta,Mecanica,1998.0
Sedan,Renault,Suba,Rojo,4.0,Gasolina,220000.0,R19,1.4,8000000.0,Bogota D.C.,Mecanica,1998.0
Camioneta,Toyota,Cartagena De Indias,Gris,5.0,Gasolina,40000.0,Burbuja,4.5,1000000.0,Bolivar,Automatica,1998.0
Sedan,Nissan,Usme,Gris,4.0,Gasolina,147000.0,Sentra,1.6,9700000.0,Bogota D.C.,Mecanica,1998.0
Pick-Up,Chevrolet,Suba,Blanco,4.0,Gasolina,198000.0,Silverado,5.7,32500000.0,Bogota D.C.,Mecanica,1998.0
Sedan,Renault,San Miguel De Sema,Gris,4.0,Gasolina,819900.0,R9,1.4,9000000.0,Boyaca,Mecanica,1998.0
Sedan,Renault,Sogamoso,Gris,4.0,Gasolina,190000.0,R19,1.8,7800000.0,Boyaca,Mecanica,1998.0
Sedan,Rover,Medellin,Verde,4.0,Gasolina,160000.0,Serie 400,1800,7500000.0,Antioquia,Mecanica,1998.0
Camioneta,Mitsubishi,Chiquinquira,Gris,5.0,Gasolina,260000.0,Montero,3.5,32000000.0,Boyaca,Mecanica,1998.0
Pick-Up,Chevrolet,Antonio Narino,Azul,2.0,Gasolina,286272.0,LUV,1.6,23600000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Peugeot,Suba,Gris,5.0,Gasolina,138261.0,306,1.6,9700000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Chevrolet,Engativa,Rojo,4.0,Gasolina,220000.0,LUV,1600,26000000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Toyota,Usaquen,Plateado,3.0,Gasolina,130000.0,Land Cruiser,4500,52000000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Mazda,Yopal,Rojo,2.0,Gasolina y gas,9290394.0,B2000,2000,25000000.0,Casanare,Mecanica,1996.0
Camioneta,Ford,Usaquen,Verde,2.0,Gasolina,3172152.0,Bronco,5000,16200000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Chevrolet,Pandi,Plateado,4.0,Gasolina,1000000.0,1996,444444,8500000.0,Cundinamarca,Mecanica,1996.0
Camioneta,Toyota,Pereira,Blanco,2.0,Gasolina y gas,500000.0,Hilux,2.0,25000000.0,Risaralda,Mecanica,1996.0
Sedan,Chevrolet,Suba,Blanco,4.0,Gasolina,170700.0,Cavalier,2.2,9400000.0,Bogota D.C.,Mecanica,1996.0
Hatchback,Chevrolet,Rio Negro (San Carlos de Rio Negro),Blanco,5.0,Gasolina,77000.0,Swift,1.0,6500000.0,Amazonas,Mecanica,1996.0
Camioneta,Jeep,Cajica,Verde,5.0,Gasolina,230000.0,Grand Cherokee,5.2,19800000.0,Cundinamarca,Automatica,1996.0
Pick-Up,Mitsubishi,Antonio Narino,Blanco,2.0,Gasolina y gas,280000.0,L200,2.0,16000000.0,Bogota D.C.,Mecanica,1996.0
Hatchback,Nissan,Popayan,Gris,2.0,Gasolina y gas,5000.0,D-21,2.0,19500000.0,Cauca,Mecanica,1996.0
Sedan,Chevrolet,Itagui,Verde,4.0,Gasolina,48000.0,Swift,1.3,9500000.0,Antioquia,Mecanica,1996.0
Camioneta,Chevrolet,Guarne,Blanco,2.0,Gasolina,65200.0,LUV,1.6,19500000.0,Antioquia,Mecanica,1996.0
Pick-Up,Dodge,Medellin,Verde,2.0,Gasolina y gas,30000.0,Ram,318,11500000.0,Antioquia,Mecanica,1996.0
Pick-Up,Chevrolet,Valledupar,Gris,2.0,Gasolina,4852.0,LUV,1.6,26000000.0,Cesar,Mecanica,1996.0
Camioneta,Toyota,Medellin,Blanco,2.0,Gasolina y gas,520000.0,Hilux,1.6,23500.0,Antioquia,Mecanica,1996.0
Camioneta,Toyota,Viterbo,Blanco,2.0,Gasolina,247000.0,Fj Cruiser,1.6,62000000.0,Caldas,Mecanica,1996.0
Pick-Up,Toyota,Bosa,Blanco,2.0,Gasolina,136755.0,Hilux,2.4,24000000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Suzuki,Cartagena De Indias,Rojo,2.0,Gasolina,150000.0,LJ 80,1000,13000000.0,Bolivar,Mecanica,1996.0
Sedan,Nissan,Kennedy,Gris,4.0,Gasolina,189000.0,Sentra,1.6,9500000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Chevrolet,Pereira,Blanco,2.0,Gasolina,336760.0,LUV,STANDARD,20000000.0,Risaralda,Mecanica,1996.0
Pick-Up,Nissan,Soacha,Blanco,2.0,Gasolina,650000.0,D21,2.4,22000000.0,Cundinamarca,Mecanica,1996.0
Hatchback,Kia,Cali,Blanco,2.0,Diesel,160000.0,Ceres,2.0,23000000.0,Valle Del Cauca,Mecanica,1996.0
Camioneta,Renault,La Mesa,Gris,2.0,Gasolina,245000.0,Twingo,1.6,8850000.0,Cundinamarca,Mecanica,1996.0
Sedan,Chevrolet,Simijaca,Blanco,4.0,Gasolina,66000.0,Swift,1.3,9000000.0,Cundinamarca,Mecanica,1996.0
Hatchback,Volkswagen,Ciudad Bolivar,Blanco,5.0,Gasolina,285000.0,Golf,1.8,8500000.0,Bogota D.C.,Mecanica,1996.0
Pick-Up,Toyota,Pereira,Gris,2.0,Gasolina,200000.0,Land Cruiser,4.5,100000000.0,Risaralda,Mecanica,1996.0
Camioneta,Skoda,Zipaquira,Gris,5.0,Gasolina,193760.0,Felicia,1.3,6500000.0,Cundinamarca,Mecanica,1996.0
Pick-Up,Chevrolet,Tibasosa,Gris,2.0,Gasolina,111111.0,LUV,1.6,20500000.0,Boyaca,Mecanica,1996.0
Sedan,Ford,Neiva,Verde,4.0,Gasolina,200000.0,Festiva,1.3,7500000.0,Huila,Mecanica,1996.0
Sedan,Mazda,Bello,Blanco,4.0,Gasolina,200575.0,323,1.5,8000000.0,Antioquia,Mecanica,1996.0
Sedan,Chevrolet,Medellin,Gris,5.0,Gasolina,100000.0,Blazer,2.0,13000000.0,Antioquia,Mecanica,1996.0
Hatchback,Daewoo,El Rosal,Blanco,5.0,Gasolina,1.0,Tico,0.8,6000000.0,Cundinamarca,Mecanica,1996.0
Camioneta,Chevrolet,Medellin,Blanco,5.0,Gasolina,1.0,Samurai,1.3,22500000.0,Antioquia,Mecanica,1996.0
Sedan,Chevrolet,Engativa,Blanco,2.0,Gasolina y gas,1.0,Cheyenne,1.6,22000000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Mazda,Santa Fe,Gris,4.0,Gasolina,50000.0,ALLEGRO,1.6,14000000.0,Bogota D.C.,Mecanica,1996.0
Sedan,Renault,Valledupar,Blanco,4.0,Gasolina,100000.0,R19,1.8,3100000.0,Cesar,Mecanica,1996.0
Camioneta,Chevrolet,Engativa,Gris,5.0,Gasolina,368000.0,Blazer,4.3,15000000.0,Bogota D.C.,Mecanica,1996.0
Pick-Up,Toyota,Medellin,Blanco,2.0,Gasolina,340000.0,Land Cruiser,4.5,80000000.0,Antioquia,Mecanica,1996.0
Sedan,Chevrolet,Kennedy,Blanco,4.0,Gasolina,160000.0,Cavalier,2.2,8000000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Daihatsu,Mosquera,Blanco,3.0,Gasolina,339000.0,F20,1600cc,21000000.0,Cundinamarca,Mecanica,1996.0
Hatchback,Chevrolet,Rafael Uribe Uribe,Blanco,5.0,Gasolina,360000.0,Swift,1.0,6500000.0,Bogota D.C.,Mecanica,1996.0
Camioneta,Mitsubishi,El Colegio,Blanco,2.0,Gasolina,453057.0,1983,1.6,13000000.0,Cundinamarca,Mecanica,1996.0
Hatchback,Mitsubishi,Cali,Blanco,3.0,Gasolina,1.0,Montero,1.6,25000000.0,Valle Del Cauca,Mecanica,1996.0
Hatchback,Fiat,Tenjo,Blanco,5.0,Gasolina,258500.0,Uno,1.0,4800000.0,Cundinamarca,Mecanica,1996.0
Sedan,Daewoo,Pereira,Gris,4.0,Gasolina,296000.0,Racer,1.5,6500000.0,Risaralda,Mecanica,1996.0
Furgon,Chevrolet,Medellin,Blanco,2.0,Gasolina,97000.0,Super carry,1.0,14000000.0,Antioquia,Mecanica,2003.0
Sedan,Chevrolet,Bosa,Rojo,4.0,Gasolina,130000.0,Swift,1.3,6000000.0,Bogota D.C.,Mecanica,2003.0
Camioneta,Hyundai,Suba,Blanco,5.0,Gasolina,70000.0,Accent,2.0,13500000.0,Bogota D.C.,Automatica,2003.0
Hatchback,Chevrolet,Fontibon,Blanco,5.0,Gasolina,161000.0,Corsa,1.4,12500000.0,Bogota D.C.,Mecanica,2003.0
Hatchback,Mazda,Palmira,Blanco,5.0,Gasolina,120000.0,323,1.3,14000000.0,Valle Del Cauca,Mecanica,2003.0
Hatchback,Chevrolet,Barranquilla,Plateado,5.0,Gasolina,48000.0,Sprint,1.0,3000000.0,Atlantico,Mecanica,2003.0
Pick-Up,Chevrolet,Kennedy,Rojo,4.0,Gasolina,160000.0,LUV,2.2,30000000.0,Bogota D.C.,Mecanica,2003.0
Sedan,Mazda,Sogamoso,Blanco,4.0,Gasolina,245000.0,ALLEGRO,1.3,13000000.0,Boyaca,Mecanica,2003.0
Camioneta,Chevrolet,Cali,Gris,5.0,Gasolina,249095.0,Grand Vitara,2.5,23500000.0,Valle Del Cauca,Automatica,2003.0
Sedan,Chevrolet,Medellin,Azul,4.0,Gasolina,145000.0,Astra,2.0,12500000.0,Antioquia,Automatica,2003.0
Camioneta,Chevrolet,Engativa,Azul,5.0,Gasolina,137331.0,Trailblazer,03V307045,24900000.0,Bogota D.C.,Automatica,2003.0
Sedan,Mitsubishi,Suba,Dorado,4.0,Gasolina,120000.0,Lancer,Gasolina,13990000.0,Bogota D.C.,Automatica,2003.0
Pick-Up,Ford,Suba,Gris,2.0,Gasolina,100000.0,F-150,5.4,24990000.0,Bogota D.C.,Automatica,2003.0
Camioneta,Nissan,San Cristobal Sur,Dorado,4.0,Gasolina y gas,170000.0,Pathfinder,3000,30800000.0,Bogota D.C.,Automatica,2003.0
