bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,state,transmission,year,price
4,24,44,31,5.0,2,115000.0,1052,15,5,2,1994.0,8000000.0
0,48,155,16,2.0,3,200000.0,133,196,5,2,1995.0,24000000.0
4,24,327,16,5.0,2,51000.0,1076,15,5,2,1995.0,7800000.0
9,24,127,63,2.0,3,204625.0,379,496,15,0,1995.0,16500000.0
0,24,63,16,2.0,2,111111.0,739,196,6,2,1996.0,23000000.0
0,135,375,16,4.0,2,120000.0,52,196,20,2,1997.0,7500000.0
3,24,190,31,2.0,2,13.0,1071,15,8,2,1998.0,15000000.0
12,129,327,16,4.0,2,189000.0,1077,32,5,2,2002.0,10900000.0
12,24,44,31,4.0,2,1737.0,517,51,5,2,2002.0,11000000.0
12,135,327,16,4.0,2,148230.0,551,32,5,2,2003.0,13900000.0
0,38,327,3,3.0,0,440000.0,968,570,5,2,1996.0,20000000.0
9,24,196,16,2.0,2,300000.0,739,227,2,2,1997.0,24500000.0
0,24,327,16,5.0,3,200000.0,266,196,5,0,1997.0,8500000.0
4,151,282,31,4.0,2,1390000.0,619,157,5,2,2003.0,10900000.0
4,101,33,31,5.0,2,260000.0,207,28,4,2,2003.0,10000000.0
12,129,196,16,3.0,2,189000.0,1138,196,2,2,2003.0,9500000.0
9,148,196,16,2.0,2,180000.0,664,233,2,2,1998.0,16000000.0
4,129,196,31,5.0,2,15854.0,1138,28,2,2,1996.0,5000000.0
0,24,254,31,4.0,2,100000.0,739,196,5,2,1996.0,25500000.0
4,129,196,16,5.0,2,340000.0,413,32,2,2,1998.0,3600000.0
9,24,299,16,2.0,2,100000.0,739,227,5,2,1996.0,21800000.0
0,24,327,31,5.0,2,224395.0,427,51,5,2,1996.0,8900000.0
12,48,359,74,4.0,2,123600.0,555,28,5,2,1996.0,8300000.0
12,24,47,16,2.0,2,190000.0,739,227,26,2,1996.0,34500000.0
0,101,47,31,4.0,2,147000.0,126,157,26,0,1996.0,10500000.0
0,148,72,6,4.0,2,1.0,1103,196,5,2,1996.0,9500000.0
0,38,150,16,2.0,2,100000.0,535,51,28,2,1996.0,15000000.0
2,142,227,31,3.0,2,954000.0,1003,76,25,2,1996.0,21900000.0
4,135,327,6,4.0,2,22000.0,553,93,5,2,1996.0,7500000.0
0,24,327,6,2.0,2,140000.0,739,285,5,2,1996.0,40000000.0
0,48,359,16,5.0,2,270000.0,272,489,5,2,1996.0,19000000.0
12,112,123,6,4.0,2,206000.0,1018,51,5,2,1996.0,9300000.0
2,24,238,63,3.0,2,169000.0,1076,15,5,2,1996.0,7900000.0
12,37,123,6,4.0,2,118000.0,382,42,5,2,1996.0,8000000.0
12,110,351,63,4.0,2,190000.0,744,51,7,2,1998.0,9500000.0
0,129,196,31,5.0,2,220000.0,413,104,2,2,1998.0,8800000.0
0,67,338,63,5.0,2,230071.0,323,196,5,2,1998.0,19300000.0
12,101,327,6,4.0,2,220000.0,169,196,5,2,1998.0,10500000.0
0,141,72,6,5.0,2,221000.0,885,243,5,2,1998.0,15500000.0
4,37,327,16,5.0,2,153746.0,751,42,5,2,1998.0,11300000.0
4,37,327,61,5.0,2,278200.0,751,42,5,2,1998.0,9800000.0
9,148,47,74,3.0,2,143089.0,745,447,26,2,1998.0,80000000.0
12,70,112,63,4.0,3,280667.0,504,64,5,2,1998.0,9000000.0
14,112,112,16,4.0,2,130000.0,1143,260,5,2,1998.0,21000000.0
4,24,34,6,4.0,2,146000.0,427,196,5,2,1998.0,8500000.0
9,24,327,16,2.0,2,184000.0,739,227,5,2,1998.0,33000000.0
0,110,63,31,5.0,2,240941.0,828,339,6,2,1998.0,22000000.0
12,24,196,74,4.0,2,160000.0,517,51,2,2,1998.0,8900000.0
9,148,327,31,2.0,2,188200.0,664,233,5,2,1998.0,30000000.0
4,129,227,31,5.0,2,180000.0,413,32,25,2,1998.0,9500000.0
4,129,338,6,5.0,2,211000.0,413,32,5,2,1998.0,7300000.0
9,24,327,6,4.0,2,209000.0,1033,496,5,2,1998.0,16900000.0
0,48,58,74,5.0,2,220188.0,524,456,29,2,1998.0,15000000.0
0,148,34,60,4.0,2,270000.0,947,51,5,2,1998.0,26500000.0
0,112,351,16,5.0,2,185000.0,899,356,7,2,1998.0,22000000.0
2,110,155,31,3.0,2,204000.0,417,135,5,0,1998.0,15000000.0
0,24,352,16,4.0,2,1.0,739,285,5,2,1998.0,27800000.0
0,118,359,6,4.0,2,98000.0,114,104,5,2,1998.0,14900000.0
12,70,208,74,4.0,2,251500.0,213,196,15,2,1998.0,8700000.0
4,48,58,6,5.0,2,1000000.0,556,28,29,2,1998.0,4000000.0
12,24,58,16,5.0,2,1.0,427,196,29,2,1998.0,10000000.0
0,48,58,74,5.0,3,220000.0,524,440,29,2,1998.0,15000000.0
9,24,58,16,2.0,0,350000.0,851,253,29,2,1998.0,39000000.0
4,48,155,74,5.0,2,1.0,555,28,5,2,1998.0,8000000.0
9,24,254,16,2.0,2,245000.0,739,227,5,2,1998.0,29500000.0
9,148,153,16,2.0,3,200000.0,664,233,2,2,1998.0,26500000.0
12,129,123,74,4.0,2,1.0,945,32,5,2,1998.0,8000000.0
4,129,58,16,5.0,2,182509.0,413,32,29,2,1998.0,7500000.0
4,37,54,16,4.0,3,1.0,874,51,24,2,1998.0,7500000.0
12,70,53,74,4.0,2,295.0,213,28,15,2,1998.0,8500000.0
4,30,238,63,5.0,2,370000.0,1214,64,5,2,1998.0,10500000.0
12,129,375,16,4.0,2,42000.0,945,32,20,2,1998.0,8500000.0
12,129,327,63,4.0,2,220000.0,940,32,5,2,1998.0,8000000.0
12,112,360,31,4.0,2,147000.0,1018,51,5,2,1998.0,9700000.0
9,24,327,16,4.0,2,198000.0,1033,496,5,2,1998.0,32500000.0
12,129,292,31,4.0,2,819900.0,945,32,7,2,1998.0,9000000.0
12,129,323,31,4.0,2,190000.0,940,64,7,2,1998.0,7800000.0
12,131,196,74,4.0,2,160000.0,1026,157,2,2,1998.0,7500000.0
0,110,78,31,5.0,2,260000.0,828,361,7,2,1998.0,32000000.0
9,24,18,6,2.0,2,286272.0,739,51,5,2,1996.0,23600000.0
0,118,327,31,5.0,2,138261.0,114,51,5,2,1996.0,9700000.0
0,24,112,63,4.0,2,220000.0,739,135,5,2,1996.0,26000000.0
0,148,359,61,3.0,2,130000.0,745,466,5,2,1996.0,52000000.0
0,101,380,63,2.0,3,9290394.0,247,260,10,2,1996.0,25000000.0
0,48,359,74,2.0,2,3172152.0,272,500,5,2,1996.0,16200000.0
12,24,221,61,4.0,2,1000000.0,51,464,15,2,1996.0,8500000.0
0,148,227,16,2.0,3,500000.0,664,196,25,2,1996.0,25000000.0
12,24,327,16,4.0,2,170700.0,355,224,5,2,1996.0,9400000.0
4,24,261,16,5.0,2,77000.0,1076,15,1,2,1996.0,6500000.0
0,79,53,74,5.0,2,230000.0,627,491,15,0,1996.0,19800000.0
9,110,18,16,2.0,3,280000.0,724,196,5,2,1996.0,16000000.0
4,112,235,31,2.0,3,5000.0,441,196,11,2,1996.0,19500000.0
12,24,153,74,4.0,2,48000.0,1076,28,2,2,1996.0,9500000.0
0,24,144,16,2.0,2,65200.0,739,51,2,2,1996.0,19500000.0
9,40,196,74,2.0,3,30000.0,953,383,2,2,1996.0,11500000.0
9,24,362,31,2.0,2,4852.0,739,51,12,2,1996.0,26000000.0
0,148,377,16,2.0,2,247000.0,559,51,8,2,1996.0,62000000.0
9,148,44,16,2.0,2,136755.0,664,233,5,2,1996.0,24000000.0
0,142,63,63,2.0,2,150000.0,736,76,6,2,1996.0,13000000.0
12,112,155,31,4.0,2,189000.0,1018,51,5,2,1996.0,9500000.0
0,24,227,16,2.0,2,336760.0,739,645,25,2,1996.0,20000000.0
9,112,320,16,2.0,2,650000.0,446,233,15,2,1996.0,22000000.0
4,85,58,16,2.0,0,160000.0,365,196,29,2,1996.0,23000000.0
0,129,166,31,2.0,2,245000.0,1138,51,15,2,1996.0,8850000.0
12,24,318,16,4.0,2,66000.0,1076,28,15,2,1996.0,9000000.0
4,151,84,16,5.0,2,285000.0,619,64,5,2,1996.0,8500000.0
9,148,227,31,2.0,2,200000.0,745,447,25,2,1996.0,100000000.0
0,135,385,31,5.0,2,193760.0,553,28,15,2,1996.0,6500000.0
9,24,339,31,2.0,2,111111.0,739,51,7,2,1996.0,20500000.0
12,48,210,74,4.0,2,200000.0,555,28,18,2,1996.0,7500000.0
12,101,37,16,4.0,2,200575.0,126,42,2,2,1996.0,8000000.0
12,24,196,31,5.0,2,100000.0,266,196,2,2,1996.0,13000000.0
4,37,111,16,5.0,2,1.0,1109,3,15,2,1996.0,6000000.0
0,24,196,16,5.0,2,1.0,1003,28,2,2,1996.0,22500000.0
12,24,112,16,2.0,3,1.0,379,51,5,2,1996.0,22000000.0
12,101,299,31,4.0,2,50000.0,207,51,5,2,1996.0,14000000.0
0,24,112,31,5.0,2,368000.0,266,445,5,2,1996.0,15000000.0
9,148,196,16,2.0,2,340000.0,745,447,2,2,1996.0,80000000.0
12,24,155,16,4.0,2,160000.0,355,224,5,2,1996.0,8000000.0
0,38,208,16,3.0,2,339000.0,535,148,15,2,1996.0,21000000.0
4,24,254,16,5.0,2,360000.0,1076,15,5,2,1996.0,6500000.0
0,110,108,16,2.0,2,453057.0,44,51,15,2,1996.0,13000000.0
4,110,58,16,3.0,2,1.0,828,51,29,2,1996.0,25000000.0
4,47,337,16,5.0,2,258500.0,1141,15,15,2,1996.0,4800000.0
12,37,227,31,4.0,2,296000.0,952,42,25,2,1996.0,6500000.0
3,24,196,16,2.0,2,97000.0,1071,15,2,2,2003.0,14000000.0
12,24,44,63,4.0,2,130000.0,1076,28,5,2,2003.0,6000000.0
0,70,327,16,5.0,2,70000.0,213,196,5,0,2003.0,13500000.0
4,24,123,16,5.0,2,161000.0,427,32,5,2,2003.0,12500000.0
4,101,220,16,5.0,2,120000.0,126,28,29,2,2003.0,14000000.0
9,24,155,63,4.0,2,160000.0,739,224,5,2,2003.0,30000000.0
12,101,323,16,4.0,2,245000.0,207,28,7,2,2003.0,13000000.0
0,24,58,31,5.0,2,249095.0,633,243,29,0,2003.0,23500000.0
12,24,196,6,4.0,2,145000.0,232,196,2,0,2003.0,12500000.0
0,24,112,6,5.0,2,137331.0,1127,5,5,0,2003.0,24900000.0
12,110,327,25,4.0,2,120000.0,744,593,5,0,2003.0,13990000.0
9,48,327,31,2.0,2,100000.0,530,493,5,0,2003.0,24990000.0
0,112,282,25,4.0,3,170000.0,899,373,5,0,2003.0,30800000.0
0,112,359,25,5.0,2,145000.0,1191,243,5,0,2003.0,28600000.0
12,101,123,6,4.0,2,88000.0,126,28,5,2,2003.0,12500000.0
4,24,102,16,5.0,2,192917.0,1052,15,7,2,2003.0,11500000.0
4,101,160,16,4.0,2,161950.0,207,51,2,2,2003.0,14600000.0
12,67,196,16,4.0,2,174374.0,383,63,2,2,2003.0,14990000.0
12,118,327,31,5.0,2,185934.0,88,196,5,2,2003.0,13500000.0
0,70,327,16,4.0,2,141128.0,504,51,5,0,2003.0,13800000.0
4,129,327,16,5.0,2,146713.0,413,32,5,2,2003.0,14500000.0
0,148,4,63,4.0,2,218000.0,664,243,12,2,1998.0,25000000.0
9,112,63,16,2.0,2,130000.0,447,233,6,2,1998.0,35000000.0
0,148,362,31,2.0,2,80000.0,745,51,12,2,1998.0,59000000.0
0,24,306,31,5.0,2,160.0,1167,51,6,2,1998.0,17500000.0
9,24,354,16,2.0,2,230000.0,379,496,6,2,1998.0,13000000.0
12,24,47,31,4.0,2,165000.0,427,32,26,2,1998.0,9000000.0
0,148,47,31,5.0,2,213000.0,947,196,26,2,1998.0,22000000.0
9,24,150,16,2.0,2,1500.0,379,445,28,2,1998.0,27000000.0
0,101,44,16,4.0,2,189000.0,137,51,5,2,1998.0,10000000.0
4,37,382,16,5.0,2,1400.0,751,42,29,2,1998.0,9500000.0
12,70,196,16,4.0,2,200000.0,213,28,2,2,1998.0,8000000.0
12,129,84,63,4.0,2,180000.0,945,32,5,2,1998.0,10000000.0
12,24,84,31,4.0,2,76000.0,1076,28,5,2,1998.0,11000000.0
9,24,351,6,2.0,2,1.0,739,227,7,2,1998.0,31000000.0
12,24,196,31,4.0,2,194000.0,427,32,2,2,1998.0,8500000.0
4,70,196,16,4.0,2,1.0,213,51,2,2,1998.0,7500000.0
12,101,136,31,5.0,3,200000.0,126,51,2,2,1998.0,8600000.0
12,110,327,31,5.0,2,260000.0,744,93,5,2,1998.0,11000000.0
12,68,295,16,4.0,3,123456.0,53,196,14,2,1998.0,7000000.0
12,47,238,16,4.0,2,88000.0,1031,28,5,2,1998.0,10499999.0
4,24,58,16,4.0,2,349000.0,739,51,29,2,1998.0,29500000.0
4,37,196,31,5.0,2,194118.0,751,42,2,2,1998.0,7000000.0
12,129,196,31,4.0,2,245000.0,945,51,2,2,1998.0,5000000.0
0,85,352,31,2.0,2,130.0,915,51,5,2,1998.0,5600000.0
4,37,360,16,5.0,2,158000.0,1109,3,5,2,1998.0,7900000.0
4,24,352,16,5.0,2,143932.0,427,32,5,2,1998.0,8000000.0
0,67,351,16,5.0,2,260000.0,323,196,7,2,1998.0,18500000.0
12,37,238,74,4.0,2,229000.0,751,42,5,2,1998.0,9000000.0
11,67,206,16,5.0,2,250000.0,323,51,14,0,1998.0,20000000.0
9,101,227,31,2.0,2,205000.0,250,249,25,2,1998.0,32000000.0
4,132,196,74,5.0,2,260000.0,669,34,2,2,1998.0,6000000.0
0,24,196,63,2.0,2,300000.0,969,249,2,2,1998.0,38000000.0
12,129,375,63,4.0,2,42000.0,945,32,20,2,1998.0,8500000.0
12,85,84,16,4.0,2,225000.0,1020,42,5,2,1998.0,9800000.0
0,24,44,16,2.0,2,57800.0,739,705,5,2,1998.0,28000000.0
0,148,196,74,5.0,2,325000.0,151,357,2,0,1998.0,36000000.0
12,129,300,16,4.0,2,1.0,940,64,2,2,1998.0,7000000.0
4,37,149,16,5.0,2,244896.0,1109,3,28,2,1998.0,6500000.0
4,85,41,16,5.0,2,165000.0,915,28,15,2,1998.0,8000000.0
0,24,196,16,5.0,2,200000.0,353,51,2,2,1998.0,13000000.0
0,112,26,31,5.0,2,200000.0,899,51,24,0,1998.0,20000000.0
4,24,235,31,5.0,2,1300.0,427,32,11,2,1998.0,10000000.0
9,148,227,16,2.0,2,414000.0,745,447,25,2,1998.0,90000000.0
0,48,34,16,5.0,2,257500.0,524,440,5,2,1998.0,17800000.0
12,67,360,16,4.0,2,220000.0,383,51,5,2,1998.0,10500000.0
4,24,371,31,5.0,2,169950.0,427,32,8,2,1998.0,8800000.0
12,70,196,31,4.0,2,160000.0,213,28,2,2,1998.0,7500000.0
9,48,210,16,2.0,2,173000.0,530,493,18,2,1998.0,24600000.0
0,24,34,6,5.0,2,196000.0,266,445,5,0,1997.0,12800000.0
12,24,196,31,4.0,2,150000.0,1076,28,2,2,1997.0,6700000.0
9,24,34,31,2.0,2,195000.0,739,227,5,2,1997.0,26800000.0
0,110,195,74,3.0,3,262000.0,828,51,5,2,1997.0,34500000.0
8,154,112,6,3.0,2,1000.0,384,484,5,2,1997.0,17000000.0
0,148,196,31,5.0,2,276000.0,273,447,2,2,1997.0,65000000.0
12,70,196,31,4.0,2,180000.0,213,42,2,2,1997.0,7800000.0
4,24,155,16,5.0,2,30.0,427,93,5,2,1997.0,10999000.0
12,110,360,74,5.0,3,240000.0,828,196,5,2,1997.0,19500000.0
9,148,375,63,2.0,2,331250.0,664,291,20,2,1997.0,28000000.0
4,129,155,74,5.0,2,244000.0,413,32,5,2,1997.0,10000000.0
0,148,33,16,2.0,3,1234567.0,664,11,4,2,1997.0,12000000.0
9,148,303,16,2.0,2,221000.0,745,447,25,2,1997.0,60000000.0
4,37,58,16,5.0,2,280000.0,382,51,29,2,1997.0,6800000.0
9,24,359,16,2.0,2,170000.0,379,496,5,2,1997.0,25000000.0
12,129,264,31,4.0,2,120000.0,945,32,8,2,1997.0,10500000.0
12,101,224,16,3.0,2,1.0,826,196,21,2,1997.0,7200000.0
9,101,327,61,2.0,2,200000.0,248,224,5,2,1997.0,26000000.0
1,121,123,63,2.0,2,5000.0,1128,678,5,0,1997.0,60000000.0
12,24,31,6,4.0,2,140000.0,1076,28,26,2,1997.0,7500000.0
9,101,102,31,2.0,2,30.0,248,224,7,2,1997.0,27000000.0
9,24,196,31,2.0,2,137000.0,739,227,2,2,1997.0,27000000.0
12,112,33,31,4.0,2,225000.0,1018,51,4,2,1997.0,9500000.0
3,24,220,16,5.0,2,92000.0,1071,15,29,2,1997.0,11500000.0
0,70,58,63,5.0,2,36000.0,504,64,29,2,1997.0,10000000.0
0,148,359,74,5.0,2,189000.0,273,447,5,2,1997.0,46000000.0
9,48,327,31,2.0,2,131806.0,959,227,5,2,1997.0,22000000.0
4,37,109,31,5.0,2,350000.0,1109,3,29,2,1997.0,7000000.0
12,70,112,31,4.0,2,280000.0,504,64,5,2,1997.0,9800000.0
0,118,102,31,4.0,2,198259.0,186,51,7,2,1997.0,8000000.0
12,101,327,31,4.0,2,195500.0,207,28,5,2,1997.0,9500000.0
9,110,26,74,2.0,2,300.0,724,196,24,2,1997.0,24000000.0
0,148,63,31,5.0,2,363000.0,745,447,6,2,1997.0,48000000.0
0,48,58,6,5.0,2,250000.0,555,196,29,2,1997.0,7000000.0
12,24,155,31,2.0,2,100000.0,50,196,5,2,1997.0,60000000.0
9,24,327,16,4.0,2,310000.0,1033,489,5,2,1997.0,21000000.0
12,141,320,31,4.0,2,221326.0,672,51,15,2,1997.0,10400000.0
0,148,359,31,5.0,2,198000.0,745,447,5,2,1997.0,58000000.0
4,151,72,6,5.0,2,276000.0,619,64,5,2,1997.0,10000000.0
0,110,44,16,5.0,2,334000.0,828,339,5,2,1997.0,27500000.0
0,48,231,16,5.0,2,100000.0,524,440,28,2,1997.0,6000000.0
9,24,282,31,2.0,2,250000.0,379,496,5,2,1997.0,25000000.0
9,48,263,74,2.0,0,200000.0,564,581,2,2,1996.0,39900000.0
9,24,112,74,2.0,3,300000.0,379,496,5,0,1996.0,16500000.0
12,129,227,16,4.0,2,299000.0,945,32,25,2,1996.0,6500000.0
0,148,112,16,5.0,2,286000.0,745,447,5,2,1996.0,80000000.0
9,24,327,16,2.0,2,250000.0,739,51,5,2,1996.0,25500000.0
4,151,359,61,5.0,2,177400.0,619,64,5,2,1996.0,11500000.0
4,30,327,16,5.0,2,100000.0,1212,196,5,2,1996.0,10500000.0
0,48,190,16,2.0,0,1.0,272,196,8,2,1996.0,33000000.0
12,48,382,16,4.0,2,277166.0,555,28,29,2,1996.0,7500000.0
0,129,155,74,5.0,2,200000.0,92,51,5,2,1996.0,5300000.0
12,24,58,74,4.0,2,100000.0,251,98,29,0,1996.0,17500000.0
9,24,84,31,2.0,2,306000.0,739,227,5,2,1996.0,23000000.0
12,129,78,31,4.0,2,10000.0,945,51,7,2,1996.0,7000000.0
8,90,118,74,3.0,2,250000.0,41,303,9,2,1996.0,25000000.0
0,79,72,3,2.0,2,100000.0,1183,514,5,2,1996.0,25000000.0
0,24,153,16,5.0,2,500000.0,1003,28,2,2,1996.0,28000000.0
0,24,100,63,4.0,2,250000.0,51,135,2,2,1996.0,30000000.0
12,48,224,6,3.0,2,25970.0,531,196,21,2,1996.0,18000000.0
9,90,36,39,2.0,2,300000.0,5,616,9,2,1996.0,16000000.0
12,110,34,63,4.0,2,290000.0,744,28,5,2,1996.0,8000000.0
12,107,359,25,4.0,2,206000.0,390,64,5,2,1996.0,23000000.0
4,70,44,31,5.0,2,1.0,213,42,5,2,1996.0,7300000.0
12,24,196,16,4.0,2,165000.0,1076,28,2,2,1996.0,6800000.0
4,101,135,31,5.0,2,220000.0,126,51,15,2,1996.0,11000000.0
0,107,338,16,5.0,2,130000.0,101,196,5,2,1996.0,24500000.0
4,24,61,31,5.0,2,232587.0,427,28,29,2,1996.0,10000000.0
0,79,349,31,5.0,2,187330.0,369,440,29,2,1996.0,15500000.0
3,47,282,31,2.0,2,343494.0,557,28,5,2,1996.0,10000000.0
12,107,47,16,4.0,2,130000.0,398,352,26,2,1996.0,30000000.0
0,48,320,63,2.0,2,280000.0,497,381,15,2,1996.0,17000000.0
12,110,254,31,4.0,2,320000.0,744,28,5,2,1996.0,9500000.0
12,107,92,31,4.0,2,200000.0,390,253,15,2,1996.0,18500000.0
0,110,78,16,5.0,2,288500.0,828,249,7,2,1996.0,17900000.0
4,90,376,49,2.0,0,123456.0,37,226,15,2,1996.0,35000000.0
0,24,220,74,2.0,2,1.0,33,196,29,2,1996.0,12000000.0
0,90,359,31,4.0,2,150000.0,955,196,5,0,1996.0,43000000.0
0,137,128,16,4.0,2,64.0,51,196,15,2,1996.0,7000000.0
8,90,263,22,2.0,2,1.0,1007,196,2,2,1996.0,45000000.0
9,101,356,16,2.0,2,240000.0,248,224,15,2,1996.0,14000000.0
4,112,164,6,5.0,3,267295.0,51,51,2,2,1996.0,22000000.0
12,79,56,16,5.0,2,249000.0,627,51,2,0,1996.0,25000000.0
4,101,113,16,5.0,2,224000.0,126,28,2,2,1996.0,7500000.0
0,112,58,31,5.0,2,160000.0,899,356,29,2,1996.0,22000000.0
4,118,112,63,5.0,2,183158.0,114,196,5,2,1996.0,12000000.0
4,24,113,16,5.0,2,73320.0,1076,15,2,2,1996.0,13000000.0
13,141,155,63,5.0,2,343500.0,673,51,5,2,1996.0,16000000.0
0,110,73,61,5.0,2,170000.0,828,339,15,2,2003.0,36500000.0
9,148,47,31,4.0,2,217847.0,664,233,26,2,2003.0,54000000.0
4,24,359,61,5.0,2,121000.0,427,51,5,2,2003.0,13500000.0
13,85,155,61,5.0,2,97000.0,631,260,5,2,2003.0,22800000.0
12,24,327,31,4.0,2,170000.0,517,93,5,2,2003.0,12900000.0
4,24,112,63,4.0,2,108850.0,227,76,5,2,2003.0,12500000.0
4,118,327,31,5.0,2,234574.0,88,32,5,2,2003.0,11800000.0
4,129,196,31,5.0,2,196000.0,413,32,2,2,2003.0,13900000.0
0,110,327,61,5.0,2,201810.0,886,233,5,2,2003.0,24000000.0
12,112,327,16,5.0,2,225288.0,1018,196,5,2,2003.0,13800000.0
12,129,359,25,5.0,2,170000.0,413,196,5,2,2003.0,13900000.0
0,30,327,31,5.0,2,180000.0,1214,260,5,2,2003.0,14500000.0
12,101,359,6,5.0,2,160000.0,126,93,5,2,2003.0,11500000.0
12,135,44,74,4.0,2,129000.0,877,157,5,2,2003.0,18500000.0
0,70,44,31,5.0,2,165000.0,1006,250,5,2,2003.0,24000000.0
12,24,263,31,4.0,2,200000.0,427,64,2,2,2003.0,14000000.0
12,129,298,16,4.0,2,287000.0,1077,32,2,2,2003.0,10800000.0
9,101,263,16,2.0,2,276871.0,248,224,2,2,2003.0,34000000.0
3,110,135,16,5.0,3,250000.0,727,196,15,0,2003.0,15000000.0
0,148,58,16,5.0,2,251000.0,911,357,29,2,2003.0,45000000.0
3,24,58,31,2.0,2,76000.0,1071,15,29,2,2003.0,18000000.0
4,24,41,31,5.0,2,210000.0,427,32,15,2,2003.0,12000000.0
12,135,327,63,4.0,2,124500.0,1072,253,5,0,2003.0,22900000.0
12,129,360,31,4.0,2,156300.0,802,32,5,2,2003.0,12300000.0
12,101,26,16,4.0,2,100000.0,126,28,24,2,2003.0,6000000.0
12,24,155,16,4.0,2,152200.0,232,64,5,2,2003.0,12000000.0
3,24,150,16,2.0,2,27000.0,1071,15,28,2,2003.0,13000000.0
12,24,58,31,4.0,2,144.0,427,32,29,2,2003.0,11500000.0
4,70,58,16,2.0,2,114000.0,1108,51,29,2,2003.0,26800000.0
